start_station_name,member_casual,number_of_rides
Public Rack - Kenneth Ave & 63rd St E,casual,5
Public Rack - Kildare Ave & Washignton Blvd,member,5
Public Rack - Lake Park Ave & 47th St,member,5
Public Rack - Laporte Ave & Armitage Ave,member,5
Public Rack - Leoti Ave & Central Ave (south),member,5
Public Rack - Lorel Ave & Grand Ave,member,5
Public Rack - Marshfield Ave & 45th St,member,5
Public Rack - McVicker & 52nd,casual,5
Public Rack - Melvina Ave & Belmont Ave,member,5
Public Rack - Miami Ave & Milwaukee Ave,casual,5
Public Rack - Montrose Ave & Lavergne Ave,casual,5
Public Rack - Montrose Ave & Lavergne Ave,member,5
Public Rack - Nordica Ave & Higgins Ave,casual,5
Public Rack - Oak Park & Higgins,casual,5
Public Rack - Ottowa Ave & Touhy Ave,casual,5
Public Rack - Panama Ave & Forest Preserve Ave,casual,5
Public Rack - Peterson Ave & Milwaukee Ave,member,5
Public Rack - Pratt Ave & Odell Ave,casual,5
Public Rack - Pulaski Rd & 51st Rd,member,5
Public Rack - Pulaski Rd & 65th St,casual,5
Public Rack - Pullman - Walmart,casual,5
Public Rack - Rutherford & 53rd,casual,5
Public Rack - Rutherford Ave & Belmont Ave,casual,5
Public Rack - State St & 47th st,casual,5
Public Rack - Strohacker Park,casual,5
Public Rack - Throop St & 109th Pl,casual,5
Public Rack - Western Ave & 104th St - West,casual,5
Public Rack - Western Ave & 106th St - East,casual,5
Public Rack - Western Ave & 92nd Pl,member,5
Public Rack - Wood St & 103rd St,member,5
Public Rack - Yates Ave & 100th St,casual,5
Pulaski Rd & 68th St,casual,5
South Chicago Ave & Elliot Ave,member,5
Central Park Ave & 66th St,casual,6
Glenlake Ave & Pulaski Rd,member,6
Granville Ave & Pulaski Rd,casual,6
Harding Ave & 31st St,casual,6
Mason Ave & Grand Ave,casual,6
Mason Ave & Grand Ave,member,6
Public Rack - 10557 S Western Ave,casual,6
Public Rack - 532 E 43rd St,member,6
Public Rack - Albany Ave & 63rd St,casual,6
Public Rack - Ashland Ave & 63rd St,member,6
Public Rack - Ashland Ave & 83rd St,member,6
Public Rack - Austin & Higgins,member,6
Public Rack - Austin Ave & Archer Ave,casual,6
Public Rack - Avenue J & 102nd St,casual,6
Public Rack - Bishop St & 46th St,casual,6
Public Rack - Brainerd Park,casual,6
Public Rack - California Ave & Touhy Ave - SW,member,6
Public Rack - Central Park & Peterson,member,6
Public Rack - Chase Ave & Touhy Ave - NE,member,6
Public Rack - Damen & 81st,member,6
Public Rack - Damen Ave & 47th St,member,6
Public Rack - Delphina & Foster,member,6
Public Rack - Emerald Ave & 43rd St,casual,6
Public Rack - Emerald Ave & 43rd St,member,6
Public Rack - Ewing Ave & Indianapolis Ave,casual,6
Public Rack - Francisco Ave & Touhy Ave,casual,6
Public Rack - Garfield Park Conservatory,casual,6
Public Rack - Halsted St & 64th St,casual,6
Public Rack - Hiawatha Ave & Minnehaha Ave,casual,6
Public Rack - Indiana Ave & 111th St,casual,6
Public Rack - Irving Park Rd & Melvina Ave,casual,6
Public Rack - Jeffery Blvd & 67th St,casual,6
Public Rack - Kedzie Ave & 61st Pl E,casual,6
Public Rack - Kedzie Ave & 64th St - SW,member,6
Public Rack - Kolin Ave & Archer Ave,casual,6
Public Rack - Kostner Ave & North Ave,member,6
Public Rack - Linder Ave & Archer Ave,member,6
Public Rack - Lowe Park,member,6
Public Rack - Michigan Ave & 96th St,member,6
Public Rack - Mobile Ave & Archer Ave,member,6
Public Rack - Neva & Foster,casual,6
Public Rack - Newland Ave & Diversey Ave,casual,6
Public Rack - Overhill Ave & Touhy Ave,member,6
Public Rack - Ozark Ave & Addison St,casual,6
Public Rack - Peterson Ave & Bernard Ave,member,6
Public Rack - Pulaski Rd & 51st Rd,casual,6
Public Rack - Pulaski Rd & 65th St,member,6
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,member,6
Public Rack - South Shore Dr & 71st St,casual,6
Public Rack - Springfield & 71st,casual,6
Public Rack - St Louis & Columbus,casual,6
Public Rack - Talman Ave & 51st St,casual,6
Public Rack - The Montessori School of Englewood,casual,6
Public Rack - Vincennes Ave & 95th St,casual,6
Public Rack - Western Ave & 96th St,casual,6
Public Rack - Western Ave & Jarvis Ave,casual,6
California Ave & 41st St,casual,7
Harlem Ave & Irving Park Rd,member,7
Lawler Ave & North Ave,member,7
Mayfield Ave & Roosevelt Rd,casual,7
Public Rack - 61st St & Melvina Ave,member,7
Public Rack - Artesian & 71st,casual,7
Public Rack - Austin Ave & Roscoe St,casual,7
Public Rack - Austin Blvd & North Ave,casual,7
Public Rack - Avenue M & 132nd St,casual,7
Public Rack - Bernard St & Foster Ave,member,7
Public Rack - California Ave & Pershing Rd,member,7
Public Rack - Central Park & Bryn Mawr,member,7
Public Rack - Central Park & Peterson,casual,7
Public Rack - Chappel Ave & 71st St,member,7
Public Rack - Cicero Ave & Cortland St - midblock,member,7
Public Rack - Clyde Ave & 87th St,casual,7
Public Rack - Elston Ave & Gunnison St,member,7
Public Rack - Hiawatha Ave & Minnehaha Ave,member,7
Public Rack - Irving Park Rd & Menard Ave,casual,7
Public Rack - Jeffrey Blvd & 71st St,casual,7
Public Rack - Kedzie & 103rd St - W,casual,7
Public Rack - Kedzie Ave & 54th St - SE,member,7
Public Rack - Kedzie Ave & 54th St - SW,casual,7
Public Rack - Kedzie Ave & 61st Pl W,casual,7
Public Rack - Kedzie Ave & Pershing Rd,casual,7
Public Rack - Lamon Ave & Archer Ave,casual,7
Public Rack - Langley Ave & 79th St,member,7
Public Rack - Lavergne Ave & Belle Plaine Ave,member,7
Public Rack - Linder & 51st,casual,7
Public Rack - Mackinaw Ave & 85th St,member,7
Public Rack - Mango & Higgins,casual,7
Public Rack - McCormick Blvd & Devon Ave,casual,7
Public Rack - Milwaukee Ave & Warner Ave,member,7
Public Rack - Mozart Elementary School,member,7
Public Rack - Narragansett Ave & Fullerton Ave,member,7
Public Rack - Northwest Hwy & Neva Ave,member,7
Public Rack - Norwood Park,casual,7
Public Rack - Odell & Talcott,casual,7
Public Rack - Ozman & Talcott,casual,7
Public Rack - Peoria St & 60th St,casual,7
Public Rack - Perry Ave & 111th St,member,7
Public Rack - Peterson Park,member,7
Public Rack - Pulaski & Ardmore,member,7
Public Rack - Sacramento & 71st,casual,7
Public Rack - South Shore Dr & 71st St,member,7
Public Rack - State St & 47th st,member,7
Public Rack - Western Ave & 104th St - East,member,7
Public Rack - Western Ave & 111th St - SW,casual,7
South Chicago Ave & Elliot Ave,casual,7
Spaulding Ave & 63rd St,member,7
Tripp Ave & 65th St,member,7
Ada St & 113th St,member,8
Damen Ave & 81st St,casual,8
Grace St & Central Ave,casual,8
Harding Ave & Chicago Ave,casual,8
Kildare Ave & 26th St,member,8
Kostner Ave & Devon Ave,member,8
Laramie Ave & Addison St,casual,8
Laramie Ave & Addison St,member,8
Major Ave & Bloomingdale Ave,member,8
Major Taylor Trail & 124th St,member,8
Maryland Ave & 104th St,member,8
Olive Harvey College,member,8
Public Rack - Ada St & 95th St,member,8
Public Rack - Austin Ave & Roscoe St,member,8
Public Rack - Avers Ave & Ogden Ave,casual,8
Public Rack - Bernard St & Foster Ave,casual,8
Public Rack - Bryn Mawr Ave & Milwaukee Ave,casual,8
Public Rack - Buffalo Ave & 89th St,member,8
Public Rack - Central & Berteau,member,8
Public Rack - Chopin Park,casual,8
Public Rack - Cicero Ave & Belle Plaine Ave,casual,8
Public Rack - Damen Ave & 47th St,casual,8
Public Rack - Eli Whitney Public School,member,8
Public Rack - Elston Ave & Gunnison St,casual,8
Public Rack - Elston Ave & Kenneth Ave,member,8
Public Rack - Evans Ave & 63rd St,casual,8
Public Rack - Ewing Ave & 99th St,member,8
Public Rack - Halsted St & 111th St,casual,8
Public Rack - Halsted St & 76th St,member,8
Public Rack - Hoyne Ave & 110th Pl,member,8
Public Rack - Kedzie Ave & 83rd St,casual,8
Public Rack - Kenton & Lawrence,casual,8
Public Rack - Komensky Ave & 59th St,casual,8
Public Rack - Kostner & Bryn Mawr,casual,8
Public Rack - Linder & Elston,casual,8
Public Rack - Linder Ave & Belmont Ave,casual,8
Public Rack - Milwaukee Ave & Waveland Ave,member,8
Public Rack - Neenah & Archer,casual,8
Public Rack - Normal Ave & 72nd St,casual,8
Public Rack - Normandy Ave & Archer Ave,casual,8
Public Rack - Norwood Park,member,8
Public Rack - Parkside & Elston,casual,8
Public Rack - Pulaski & 52nd,casual,8
Public Rack - Pulaski Rd & Lake St,casual,8
Public Rack - Pulaski Rd & Stevens Ave,member,8
Public Rack - Spaulding Ave & Bryn Mawr Ave,casual,8
Public Rack - Western Ave & 104th St - East,casual,8
Public Rack - Western Ave & 47th Pl,casual,8
Public Rack - Woodlawn Ave & 63rd St S,member,8
Racine Ave & 61st St,member,8
Racine Ave & 65th St,member,8
Springfield Ave & 47th St,member,8
Throop St & 52nd St,member,8
Western Ave & 43rd St,member,8
Western Ave & 79th St,casual,8
Carpenter St & 63rd St,casual,9
Carpenter St & 63rd St,member,9
Columbus Ave & 83rd Pl,casual,9
Kenneth Ave & 50th St,member,9
Oketo Ave & Addison St,member,9
Pittsburgh Ave & Irving Park Rd,casual,9
Public Rack - Ashland Ave & 63rd St,casual,9
Public Rack - Central & Berteau,casual,9
Public Rack - Central Ave & George St,casual,9
Public Rack - Christiana Ave & Lawrence Ave,member,9
Public Rack - Colfax Ave & 83rd St,member,9
Public Rack - Garfield Park Conservatory,member,9
Public Rack - Halsted St & 80th St,casual,9
Public Rack - Hamlin Ave & Madison St,member,9
Public Rack - Harriet E Sayre Public School,casual,9
Public Rack - Homan Ave & 26th St,casual,9
Public Rack - Irving Park Rd & Parkside Ave,casual,9
Public Rack - Kedzie Ave & 63rd St,casual,9
Public Rack - Kedzie Ave & Archer Ave,member,9
Public Rack - Kedzie Ave & Arthington St,casual,9
Public Rack - Kedzie Ave & Arthington St,member,9
Public Rack - King Dr & 71st St,casual,9
Public Rack - Komensky Ave & 63rd St,member,9
Public Rack - Kostner & 83rd,casual,9
Public Rack - Langley Ave & 79th St,casual,9
Public Rack - Maplewood Ave & 47th St,casual,9
Public Rack - Marshfield Ave & 87th St,casual,9
Public Rack - Marshfield Ave & 87th St,member,9
Public Rack - Milwaukee Ave & Warner Ave,casual,9
Public Rack - Minnehaha Ave & Devon Ave,member,9
Public Rack - Mozart Elementary School,casual,9
Public Rack - Nagel & Higgins,member,9
Public Rack - Northwest Hwy & Bryn Mawr,casual,9
Public Rack - Norwood Park Station,casual,9
Public Rack - Overhill Ave & Touhy Ave,casual,9
Public Rack - Peterson Ave & Milwaukee Ave,casual,9
Public Rack - Pulaski Rd & 83rd St,casual,9
Public Rack - Robert Fulton Elementary School,casual,9
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,casual,9
Public Rack - Sayer & Northwest Hwy,casual,9
Public Rack - Troy & 71st,casual,9
Racine Ave & 57th St,member,9
Spaulding Ave & 63rd St,casual,9
Central Park Ave & Washington Blvd,member,10
Eggleston Ave & 92nd St,member,10
Grace St & Central Ave,member,10
Hamlin Ave & 62nd Pl,member,10
Kedzie Ave & Redfield Dr,member,10
Laramie Ave & Gladys Ave,member,10
Laramie Ave & Irving Park Rd,member,10
Lockwood Ave and Grand Ave,member,10
Marmora Ave & Belmont Ave,casual,10
Meade Ave & Fullerton Ave,casual,10
Menard Ave & Division St,member,10
Michigan Ave & 114th St,member,10
Monitor Ave & Division St,member,10
Public Rack - 111th St - Morgan Park Metra,casual,10
Public Rack - 63rd St and Nagle Ave,casual,10
Public Rack - Buffalo Ave & 89th St,casual,10
Public Rack - Central & Prescott,casual,10
Public Rack - Christiana Ave & Bryn Mawr Ave,casual,10
Public Rack - Cicero Ave & Wellington Ave,casual,10
Public Rack - Division St & Christiana Ave,member,10
Public Rack - Drake Ave & Leland Ave,casual,10
Public Rack - Forest Glen Station,member,10
Public Rack - Harding Ave & 47th St,casual,10
Public Rack - Holbrook St & Milwaukee Ave,casual,10
Public Rack - Kedzie Ave & 64th St - SW,casual,10
Public Rack - Lafayette Ave & 87th St - NW,member,10
Public Rack - Lamon Ave & Archer Ave,member,10
Public Rack - Langley Ave & 105th Pl,casual,10
Public Rack - McCormick Blvd & Devon Ave,member,10
Public Rack - Melvina & Foster,member,10
Public Rack - Mont Clare Ave & Higgins Ave,member,10
Public Rack - Newcastle & Archer,casual,10
Public Rack - Normal Ave & 111th St,member,10
Public Rack - Northwest Hwy & Bryn Mawr,member,10
Public Rack - Parkside & 63rd,casual,10
Public Rack - Rockwell & 111th St,member,10
Public Rack - Wentworth Park,casual,10
Public Rack - Western Ave & 105th St,casual,10
Public Rack - Whipple St & 63rd St,member,10
Public Rack - Winona St & Elston Ave,member,10
Sacramento Blvd & Polk St,member,10
Springfield Ave & 71st St,member,10
Western Ave & 43rd St,casual,10
21st St & Pulaski Rd,member,11
Bennett Ave & 79th St,member,11
Central Park Ave & Ohio St,member,11
Dauphin Ave & 103rd St,member,11
Grace & Cicero,casual,11
Granville Ave & Pulaski Rd,member,11
Harlem Ave & Grace St,member,11
Kildare Ave & Chicago Ave,member,11
Lexington St & California Ave,member,11
Mayfield & Roosevelt Rd,member,11
Public Rack - 532 E 43rd St,casual,11
Public Rack - 82nd st & Kedzie Ave,casual,11
Public Rack - Ashland Ave & 71st St,casual,11
Public Rack - Ave N & 106th St,casual,11
Public Rack - Avers Ave & Archer Ave,casual,11
Public Rack - California Ave & Ogden Ave,member,11
Public Rack - Central Park & Bryn Mawr,casual,11
Public Rack - Central Park Ave & Fillmore St,member,11
Public Rack - Halsted St & 63rd St,member,11
Public Rack - Homan Ave & 62nd Pl,casual,11
Public Rack - Kedzie & 73rd,casual,11
Public Rack - Kedzie Ave & 62nd Pl,member,11
Public Rack - Laflin St & 51st St,member,11
Public Rack - Leader & Caldwell,casual,11
Public Rack - Lemont Ave & Keating Ave,casual,11
Public Rack - Linder Ave & Archer Ave,casual,11
Public Rack - Lorel Ave & Grand Ave,casual,11
Public Rack - Maplewood Ave & 63rd St,casual,11
Public Rack - Marquette Ave & 83rd St,member,11
Public Rack - Milwaukee Ave & Leland Ave,casual,11
Public Rack - Pulaski Rd & Stevens Ave,casual,11
Public Rack - Sawyer Ave & Chicago Ave,casual,11
Public Rack - Spaulding Ave & Bryn Mawr Ave,member,11
Public Rack - St Louis & Lincoln,casual,11
Public Rack - Western Ave & 110th St,casual,11
Public Rack - Wolcott Ave & 61st St,member,11
Public Rack - Wood St & 103rd St,casual,11
Wellington Ave & Mulligan Ave,member,11
Campbell Ave & 51st St,member,12
Doty Ave & 111th St,member,12
Eberhart Ave & 131st St,casual,12
Grace St & Cicero Ave,casual,12
Harlem Ave & Irving Park Rd,casual,12
Indiana Ave & 103rd St,member,12
Kedvale Ave & Peterson Ave,casual,12
Keeler Ave & Roosevelt Rd,member,12
Kildare & Cermak,member,12
Kildare Ave & 55th St,member,12
Long Ave & North Ave,member,12
Public Rack - Austin & Higgins,casual,12
Public Rack - Cicero Ave & Cortland St - midblock,casual,12
Public Rack - Cicero Ave & North Ave,casual,12
Public Rack - Hamilton Ave & 95th St,member,12
Public Rack - Harlem & Palatine,casual,12
Public Rack - Jeffery Blvd & 67th St,member,12
Public Rack - Jeffrey Blvd & 71st St,member,12
Public Rack - Keating & Peterson,casual,12
Public Rack - Kedvale Ave & Avondale Ave,member,12
Public Rack - Kenton Ave & Palmer St,member,12
Public Rack - Kinzua Ave & Devon Ave,casual,12
Public Rack - Kostner & Bryn Mawr,member,12
Public Rack - Kostner Ave & Wrightwood Ave,casual,12
Public Rack - Linder Ave & 64th Pl,casual,12
Public Rack - Mackinaw Ave & 85th St,casual,12
Public Rack - Melvina Ave & Montrose Ave,casual,12
Public Rack - Milwaukee Ave & Sunnyside Ave,casual,12
Public Rack - Sayre Ave & 59th St,member,12
Public Rack - St Louis & Lincoln,member,12
Public Rack - Wolcott Ave & 61st St,casual,12
Racine Ave & 57th St,casual,12
Sacramento Ave & Pershing Rd,member,12
Sacramento Ave & Pratt Blvd,member,12
Wood St & 84th St,casual,12
Avenue O & 134th St,member,13
Eggleston Ave & 92nd St,casual,13
Francisco Ave & 85th St,casual,13
Greenwood Ave & 91st St,member,13
Kedzie Ave & 73rd St,member,13
Mango Ave & Diversey Ave,member,13
Public Rack - Ashland Ave & 91st St,casual,13
Public Rack - Bryn Mawr Ave & Spaulding Ave,member,13
Public Rack - Central & Leland,casual,13
Public Rack - Halsted St & 95th St - SW,member,13
Public Rack - Kedvale Ave & Peterson Ave,member,13
Public Rack - Kedzie Ave & 58th St,member,13
Public Rack - Kildare Ave & Washignton Blvd,casual,13
Public Rack - Leamington & Elston,member,13
Public Rack - Lemont Ave & Keating Ave,member,13
Public Rack - Marshfield Ave & 45th St,casual,13
Public Rack - Menard Ave & Dakin St - midblock,member,13
Public Rack - Peterson Park,casual,13
Public Rack - Prairie Ave & 47th St,member,13
Public Rack - Racine Ave & 74th St,casual,13
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,casual,13
Public Rack - Sayer & Northwest Hwy,member,13
Public Rack - Talman Ave & Pershing Rd,member,13
Public Rack - Touhy Ave & Oconto Ave,casual,13
Public Rack - Western Ave & 100th St,member,13
Public Rack - Winona St & Elston Ave,casual,13
Wellington Ave & Mulligan Ave,casual,13
Wentworth Ave & 104th St,casual,13
Western Ave & 62nd St,casual,13
Ada St & 113th St,casual,14
Damen Ave & 87th St,member,14
Dan Ryan Woods & 83rd St,member,14
Mayfield Ave & Roosevelt Rd,member,14
Paulina Ave & 87th St,casual,14
Public Rack - Avers & Granville,casual,14
Public Rack - Christiana Ave & Archer Ave,casual,14
Public Rack - Ewing Ave & 107th St,casual,14
Public Rack - Kedvale Ave & 63rd St W,casual,14
Public Rack - King Dr & 71st St,member,14
Public Rack - Komensky Ave & 59th St,member,14
Public Rack - Laramie Ave & Fullerton Ave,casual,14
Public Rack - Maplewood Ave & 47th St,member,14
Public Rack - Menard Ave & Grand Ave,casual,14
Public Rack - Milwaukee Ave & Sunnyside Ave,member,14
Public Rack - Monticello & Lawrence,member,14
Public Rack - Natoma Ave & Bryn Mawr Ave,casual,14
Public Rack - Penn Elementary School / KIPP Ascend Middle School,casual,14
Public Rack - Racine Ave & 74th St,member,14
Public Rack - S. Kilpatrick and W. 79th,casual,14
Public Rack - Sayre Ave & 59th St,casual,14
Public Rack - Spaulding Ave & Foster Ave,member,14
Public Rack - Springfield & 79th,casual,14
Public Rack - Tripp Ave & North Ave,member,14
Public Rack - Wood St & 47th St,casual,14
Public Rack - Woodlawn Ave & 63rd St S,casual,14
Rainbow - Beach,member,14
Roscoe & Harlem,member,14
S Aberdeen St & W 106th St,member,14
South Chicago Ave & 83rd St,member,14
Troy Ave & 27th St,member,14
Central Park Ave & Washington Blvd,casual,15
Commercial Ave & 100th St,casual,15
Harlem Ave & Bloomingdale Ave,casual,15
Homewood Ave & 115th St,member,15
Lawndale Ave & 16th St,member,15
Lockwood Ave and Grand Ave,casual,15
Loomis St & 89th St,member,15
Narragansett Ave & Wrightwood Ave,member,15
Panama Ave & Grace St,casual,15
Public Rack - Bell Ave & 95th St,casual,15
Public Rack - California Ave & Devon Ave - NW,casual,15
Public Rack - Christiana Ave & Bryn Mawr Ave,member,15
Public Rack - Cicero Ave & Altgeld St,casual,15
Public Rack - Forest Glen Station,casual,15
Public Rack - Foster Ave & Drake Ave,casual,15
Public Rack - Greenwood Ave & Lake Park Ave,member,15
Public Rack - Hamlin Ave & Grand Ave,casual,15
Public Rack - Hamlin Ave & Grand Ave,member,15
Public Rack - Hoyne Ave & 110th Pl,casual,15
Public Rack - Karlov Ave & Milwaukee Ave,member,15
Public Rack - Kedzie Ave & 54th St - SE,casual,15
Public Rack - Kenneth & Carmen,casual,15
Public Rack - Kilpatrick & Elston,casual,15
Public Rack - Kimball Ave & Carmen Ave,casual,15
Public Rack - Laflin St &51st ST,member,15
Public Rack - Lawndale Ave & 23rd St,member,15
Public Rack - Lawrence Ave & Kimball Ave,casual,15
Public Rack - Leader & Caldwell,member,15
Public Rack - Mango & Higgins,member,15
Public Rack - Milwaukee Ave & Lawrence Ave,casual,15
Public Rack - Prairie Ave & Garfield Blvd N,member,15
Public Rack - State ST & 42nd St,casual,15
Pulaski Rd & 60th St,member,15
Sayre Ave & Diversey Ave,casual,15
Spaulding Ave & 16th St,member,15
Torrence Ave & 106th St,member,15
Artesian Ave & 71st St,casual,16
Harding Ave & Division St,casual,16
Hegewisch Metra Station,member,16
Kedzie Ave & 110th St,member,16
Kostner Ave & Devon Ave,casual,16
Mango Ave & Diversey Ave,casual,16
Mulligan Ave & Wellington Ave,member,16
OH Charging Stx - Test,member,16
Public Rack - Abbott Park,casual,16
Public Rack - Greenwood Ave & Lake Park Ave,casual,16
Public Rack - Halsted St & 111th St,member,16
Public Rack - Halsted St & 95th St - SE,casual,16
Public Rack - Holbrook St & Milwaukee Ave,member,16
Public Rack - Homan & 79th,casual,16
Public Rack - Houston Ave & 131st St,casual,16
Public Rack - Laramie Ave & Fullerton Ave,member,16
Public Rack - Lockwood Ave & Diversey Ave,casual,16
Public Rack - N Narragansett Ave & Grand Ave,member,16
Public Rack - N. Oakview and W. Gregory St,member,16
Public Rack - Narragansett Ave & Fullerton Ave,casual,16
Public Rack - Prairie Ave & Garfield Blvd N,casual,16
Public Rack - Throop St & 109th Pl,member,16
Public Rack - Western Ave & 47th Pl,member,16
Public Rack - Western Ave & 92nd Pl,casual,16
Pulaski Rd & 84th St,casual,16
Rhodes Ave & 71st St,member,16
Western Ave & 79th St,member,16
Archer Ave & 43rd St,member,17
California Ave & 29th St,member,17
Central Ave & Altgeld St,casual,17
Central Park Ave & Ardmore Ave,member,17
Cicero Ave & Wrightwood Ave,casual,17
Commercial Ave & 130th St,member,17
Kedvale Ave & Peterson Ave,member,17
Lawndale Ave & 30th St,member,17
Narragansett Ave & McLean Ave,casual,17
Olive Harvey College,casual,17
Public Rack - California Ave & Ogden Ave,casual,17
Public Rack - Ford City Mall,casual,17
Public Rack - Kedzie Ave & Chicago Ave,casual,17
Public Rack - Kenneth & Carmen,member,17
Public Rack - Lynch & Elston,member,17
Public Rack - Menard Ave & Grand Ave,member,17
Public Rack - Western & 83rd,casual,17
Springfield Ave & 80th St,casual,17
Grace & Cicero,member,18
Halsted St & 111th St,casual,18
Kedzie Ave & Jackson Blvd,member,18
Kostner Ave & 63rd St,member,18
Leclaire Ave & Belmont Ave,member,18
Narragansett Ave & McLean Ave,member,18
Pine Ave & Division St,casual,18
Public Rack - 4810 Keeler Ave,casual,18
Public Rack - Central Ave & George St,member,18
Public Rack - Cicero & 64th,casual,18
Public Rack - Foster Ave & Drake Ave,member,18
Public Rack - Halsted St & 76th St,casual,18
Public Rack - Irving Park Rd & Austin Ave,casual,18
Public Rack - Irving Park Rd & Austin Ave,member,18
Public Rack - Jonathan Y Scammon Public School,member,18
Public Rack - Kedzie Ave & 58th St,casual,18
Public Rack - Kildare Ave & North Ave,member,18
Public Rack - Kostner Ave & Wrightwood Ave,member,18
Public Rack - Lotus Ave & Lawrence Ave,casual,18
Public Rack - Lotus Ave & Lawrence Ave,member,18
Public Rack - Meade Ave & Archer Ave,casual,18
Public Rack - Neva Ave & Grand Ave,member,18
Public Rack - Richard Daley College,casual,18
Public Rack - St Louis Ave & Berteau Ave,member,18
Sayre & Diversey,member,18
Bradley Park,casual,19
Central Ave & Altgeld St,member,19
Harding Ave & Division St,member,19
Kostner Ave & Lake St,member,19
Lawler Ave & 50th St,member,19
Public Rack - Baltimore Ave & 133rd St,casual,19
Public Rack - Delphina & Foster,casual,19
Public Rack - Forest Glen & Peterson,casual,19
Public Rack - Jensen Park,casual,19
Public Rack - Karlov Ave & Kamerling Ave,casual,19
Public Rack - Kimbark Ave & 63rd St,casual,19
Public Rack - Langley Ave & Oakwood Blvd,member,19
Public Rack - Laramie Ave & Warwick Ave,casual,19
Public Rack - Milwaukee Ave & Leland Ave,member,19
Public Rack - Neva & Foster,member,19
Public Rack - Prairie Ave & 47th St,casual,19
Public Rack - Sawyer Ave & Chicago Ave,member,19
Public Rack - Talman Ave & Pershing Rd,casual,19
Rhodes Ave & 71st St,casual,19
South Chicago Ave & 83rd St,casual,19
Throop St & 52nd St,casual,19
21st St & Pulaski Rd,casual,20
Artesian Ave & 71st St,member,20
Bloomingdale Ave & Harlem Ave,member,20
Central Ave & Wellington Ave,casual,20
Commercial Ave & 100th St,member,20
Constance Ave & 95th St,member,20
Halsted St & 104th St,member,20
Halsted St & 56th St,member,20
Kildare Ave & North Ave,member,20
Lavergne Ave & Division St,member,20
Lexington St & California Ave,casual,20
Marquette Ave & 89th St,member,20
Public Rack - Bryn Mawr Ave & Spaulding Ave,casual,20
Public Rack - Kenton & Lawrence,member,20
Public Rack - King Dr & 115th St,member,20
Public Rack - Lockwood Ave & Diversey Ave,member,20
Public Rack - Melvina & Foster,casual,20
Public Rack - Menard Ave & Belmont Ave,casual,20
Public Rack - Milwaukee Ave & Pensacola Ave,member,20
Public Rack - N Narragansett Ave & Grand Ave,casual,20
Public Rack - Pulaski & Rosemont,casual,20
Rockwell St & 57th St,member,20
Buckingham Fountain (Columbus/Balbo),member,21
California Ave & Marquette Rd,member,21
Fullerton & Monitor,member,21
Pershing Rd & Sacramento Ave,casual,21
Public Rack - Avondale Ave & Addison St,member,21
Public Rack - Christiana & Lincoln,member,21
Public Rack - Cottage Grove & 86th St,member,21
Public Rack - Hollywood Park,casual,21
Public Rack - Keystone Ave & North Ave,casual,21
Public Rack - Kildare Ave & North Ave,casual,21
Public Rack - Kimball & Ardmore,casual,21
Public Rack - King Dr & 115th St,casual,21
Public Rack - Lockwood & Archer,member,21
Public Rack - Lynch & Elston,casual,21
Public Rack - Melvina Ave & Belmont Ave,casual,21
Public Rack - Melvina Ave & Montrose Ave,member,21
Public Rack - Milwaukee Ave & Addison St,member,21
Public Rack - Tripp Ave & North Ave,casual,21
Public Rack - Western Ave & 100th St,casual,21
Public Rack - Western Ave & Jarvis Ave,member,21
State St & 123rd St,casual,21
Summit Ave & 86th St,casual,21
Kedzie Ave & 73rd St,casual,22
Kildare Ave & 85th St,casual,22
Oak Park & Wellington,member,22
Public Rack - Central Ave & Corcoran Pl,casual,22
Public Rack - Central Ave & Lawrence Ave,casual,22
Public Rack - Cicero Ave & Belle Plaine Ave,member,22
Public Rack - Eli Whitney Public School,casual,22
Public Rack - Forrestville Ave & 47th St,casual,22
Public Rack - Hamilton Ave & 95th St,casual,22
Public Rack - Hiawatha & Mendota,member,22
Public Rack - Imlay & Milwaukee,casual,22
Public Rack - Komensky Ave & 63rd St,casual,22
Public Rack - Langley Ave & 49th St,casual,22
Public Rack - Langley Ave & Oakwood Blvd,casual,22
Public Rack - Laramie Ave & Grand Ave,casual,22
Public Rack - Milwaukee Ave & Pensacola Ave,casual,22
Public Rack - Mulligan Ave & 56th St,casual,22
Public Rack - Natoma Ave & 61st St,casual,22
Public Rack - Oketo Ave & Belmont Ave,casual,22
Public Rack - Sacramento Ave & Devon Ave,member,22
State St & 76th St,casual,22
Steelworkers Park,member,22
Tripp Ave & 31st St,member,22
Vincennes Ave & 75th St,member,22
Albany Ave & Douglas Blvd,member,23
Central Park Ave & Douglas Blvd,member,23
Columbus Ave & 79th St,casual,23
Damen Ave & 74th St,member,23
Kedzie Ave & 66th Pl,member,23
Laramie Ave & Gladys Ave,casual,23
Lavergne Ave & Division St,casual,23
Public Rack - 61st St & Melvina Ave,casual,23
Public Rack - Avers & Granville,member,23
Public Rack - Avondale Ave & Addison St,casual,23
Public Rack - Jonathan Y Scammon Public School,casual,23
Public Rack - Lawrence Ave & Kimball Ave,member,23
Public Rack - Monticello & Lawrence,casual,23
